Abandon,SHAR0288
Absurde,SHAR0341
Adjectif,SHAR0322
Adverbe,SHAR0322
Adolescence, SHAR0306
Agent double,SHAR0085
Aiguilleur narratif,SHAR0289, SHAR0301, SHAR0307, SHAR0312, SHAR0313, SHAR0314, SHAR0315, SHAR0316, SHAR0318, SHAR0319, SHAR0320, SHAR0323,SHAR0352
Ambulance,SHAR0588
Amerrissage,SHAR0338,SHAR0339,SHAR0340,SHAR0341,SHAR0343,SHAR0345,SHAR0348
Ami,SHAR0592,SHAR0595,SHAR0605
Amour,SHAR0111, SHAR0263,SHAR0793
Ange,SHAR0108
Appareillage,SHAR0313
Arbitragiste,SHAR0286 
Arbre,SHAR0283
Archives,SHAR0284
Argent,SHAR0792
Art du roman,SHAR1236
Asphyxie,SHAR0394
Autre, SHAR0782,SHAR0793
Avion (aviation),SHAR0220, SHAR0314, SHAR0323, SHAR0327,SHAR0399
Bagage, SHAR0537
Banlieue, SHAR0065
Bateau (vaisseau ou arsenal), SHAR0256, SHAR0286, SHAR0287
Bavard (bavardage),SHAR0043, SHAR0045, SHAR0053, SHAR1233
Benne (benne de camion), SHAR0480,SHAR0481,SHAR0532,SHAR0535,SHAR0537,568
Bowling,SHAR0632
Bulle (bulle de contentement),SHAR0344,SHAR0345,SHAR0781
Bunker,SHAR0264
Cahier de charges,SHAR0316, SHAR0319, SHAR0321, SHAR0322
Campagne,SHAR0298
Cap (franchir un cap),SHAR0204, SHAR0205
Capsule orbitale,SHAR0220
Capteur (pisteur),SHAR0089, SHAR0097, SHAR0098, SHAR0099, SHAR0110
Cauchemar,SHAR0248, SHAR0299, SHAR0340
Catalogage,SHAR0310
Catastrophe,SHAR0583
Chaman (sorcier),SHAR0305, SHAR0320
Chant (chanteur),SHAR0794
Chat,SHAR0414
Chemin de traverse,SHAR0386, SHAR0387
Chevalerie,SHAR0056
Chute,SHAR0029, SHAR0112, SHAR0113, SHAR0114,SHAR0437,SHAR0473
Climat,SHAR0300
Cloaque,SHAR0368,SHAR0369,SHAR0370
Clochard,SHAR0406,SHAR0408,SHAR0411,SHAR0412,SHAR0416,SHAR0544,SHAR0547,SHAR0590
Cloud,SHAR0687
Code (code de vie ou d'honneur; hommes d'honneur),SHAR0260, SHAR0299, SHAR0301, SHAR0305, SHAR0325
Collision,SHAR0536
Commissaire,SHAR0303, SHAR0304, SHAR0305
Compagnonnage,SHAR0031
Complexe de Chaplin (Charlie Chaplin),SHAR0047, SHAR0048,SHAR0598,SHAR0599,SHAR0600,SHAR0613,SHAR0779
Complexe d'Icare,SHAR0341,SHAR0342
Complexe du porte-voix,SHAR0380,SHAR0384,SHAR0406,SHAR0422,SHAR0423,SHAR0424,SHAR0428,SHAR0429,SHAR0439,SHAR0440,SHAR0447,SHAR0586
Combat (conflit ou lutte),SHAR0014, SHAR0015, SHAR0100, SHAR0120
Commerce,SHAR0452
Comportement,SHAR0193
Confinement,SHAR0308
Conseil d'administration,SHAR0574,SHAR0576
Conte,SHAR0098, SHAR0112
Corolle,SHAR0330,SHAR0351
Cosmogonie,SHAR0287,SHAR0452
Course,SHAR0295
Cri,SHAR0536
Criminel (crime),SHAR0110,SHAR0533
Crucifixion,SHAR0108
Culture,SHAR0305
Deadhead (Grateful Dead),SHAR0537,SHAR0553
Devise, SHAR0264
Diable, SHAR0335
Directeur, SHAR0121
Disparition,SHAR0782
Disparition du livre,SHAR0349
Divan, SHAR0216, SHAR0217
Domestication,SHAR0307
Effacement (partisans de l'effacement),SHAR0310
Effondrement,SHAR0190, SHAR0192
Empathie,SHAR0016, SHAR0306, SHAR1233
Emploi,SHAR0552
Entreprise,SHAR0346,SHAR0347
Espace public,SHAR0216
Espionnage (espion),SHAR0300
Examen (qualification ou test),SHAR0297
Exode,SHAR0629
Exterminateur,SHAR0544,SHAR0545,SHAR0547,SHAR0548
Faillite,SHAR0549
Famille,SHAR0116
Fatigue,SHAR0114
Feuillet,SHAR0264, SHAR0265
Fin du monde,SHAR0100, SHAR0287
Folie,SHAR0092,SHAR0381,SHAR0393,SHAR0437
Fonctionnaire,SHAR0301, SHAR0318
Formation,SHAR0424
Fourmi,SHAR0252, SHAR0253, SHAR0254,SHAR0346
Fugue,SHAR0592
Fuite (repli),SHAR0219, SHAR0246, SHAR0259,SHAR0785
